case_id,area,case,round_1,round_2,round_3,round_4,status
CTX-001,store,SQLite migration creates versioned checkpoint and member tables,PASS,PASS,PASS,PASS,PASS
CTX-002,store,context update and batch decision commit atomically with through sequence,PASS,PASS,PASS,PASS,PASS
CTX-003,members,inbound sender upsert and relevant member lookup do not inject full roster,PASS,PASS,PASS,PASS,PASS
CTX-004,prompt,prompts use fixed concise sections and explicit contextUpdate contract,PASS,PASS,PASS,PASS,PASS
CTX-005,recovery,new provider session receives existing checkpoint while ordinary resume does not duplicate it,PASS,PASS,PASS,PASS,PASS
CTX-006,recovery,Codex SessionStart compact hook returns current recovery version and bounded context,PASS,PASS,PASS,PASS,PASS
CTX-007,recovery,real Codex fixed version accepts bundled hook configuration during verify,PASS,PASS,PASS,PASS,PASS
VIEW-001,lifecycle,interactive view starts embedded Host only when no active owner exists,PASS,PASS,PASS,PASS,PASS
VIEW-002,lifecycle,quitting view stops only the Host started by that view,PASS,PASS,PASS,PASS,PASS
VIEW-003,overview,default tab shows all channels conversations messages runtimes workers and alerts,PASS,PASS,PASS,PASS,PASS
VIEW-004,detail,selection opens one conversation detail without exposing raw IDs or content by default,PASS,PASS,PASS,PASS,PASS
VIEW-005,settings,instance settings validate and save config atomically,PASS,PASS,PASS,PASS,PASS
VIEW-006,settings,conversation responsibility mode and warm TTL changes are read on the next turn or send gate,PASS,PASS,PASS,PASS,PASS
VIEW-007,settings,observed member role and boundary can be updated without adding the full roster to prompts,PASS,PASS,PASS,PASS,PASS
VIEW-008,cli,--once remains read only and non TTY interactive view fails before Host side effects,PASS,PASS,PASS,PASS,PASS
VIEW-009,registry,view discovers all initialized instances in stable order and shows zero instance guidance,,PASS,PASS,PASS,PASS
VIEW-010,overview,bare view aggregates instances channels messages conversations and runtimes then drills down by instance,,PASS,PASS,PASS,PASS
VIEW-011,lifecycle,each instance independently starts or attaches and view exit stops only owners started by that view,,PASS,PASS,PASS,PASS
VIEW-012,settings,instance selection drills from overview into the matching validated settings page,,PASS,PASS,PASS,PASS
VIEW-013,visual,interactive TTY uses semantic ANSI colors without changing table alignment,,,PASS,PASS,PASS
VIEW-014,fallback,NO_COLOR non TTY and view once remain plain text without ANSI,,,PASS,PASS,PASS
VIEW-015,settings,settings columns use explicit separators and left alignment,,,PASS,PASS,PASS
VIEW-016,navigation,top level contains only overview and global settings while instance settings are reached by overview drill down,,,,PASS,PASS
VIEW-017,channels,DingTalk enabled toggle persists through the shared config schema and old v2 config defaults to enabled,,,,PASS,PASS
VIEW-018,lifecycle,disabled Channel state migrates safely and Host starts no adapter or Channel owner,,,,PASS,PASS
VIEW-019,instances,TUI creates a validated instance through shared init with Channel disabled and shows it immediately,,,,PASS,PASS
VIEW-020,settings,global settings page contains no Agent Runtime Channel conversation or member settings,,,,PASS,PASS
DOC-001,docs,README describes view as foreground startup and management entry while run remains headless,PASS,PASS,PASS,PASS,PASS
DOC-002,docs,README and CLI help define bare view as the cross instance entry and reject view instance selection,,PASS,PASS,PASS,PASS
DOC-003,docs,README documents semantic colors NO_COLOR and settings separators,,,PASS,PASS,PASS
DOC-004,docs,README documents overview drill down global settings Channel toggle and TUI instance creation,,,,PASS,PASS
REG-001,regression,npm run verify pack dry run and isolated CLI smoke pass without DWS send,PASS,PASS,PASS,PASS,PASS
